Country,Happiness score,Year
Argentina,5.93,2021
Portugal,5.93,2021
Japan,5.94,2021
Nicaragua,5.97,2021
Thailand,5.98,2021
Hungary,5.99,2021
Colombia,6.01,2021
Latvia,6.03,2021
Mauritius,6.05,2021
El Salvador,6.06,2021
Serbia,6.08,2021
Kuwait,6.11,2021
Romania,6.14,2021
Kazakhstan,6.15,2021
Poland,6.17,2021
Chile,6.17,2021
Uzbekistan,6.18,2021
Panama,6.18,2021
Estonia,6.19,2021
Cyprus,6.22,2021
Lithuania,6.26,2021
Jamaica,6.31,2021
Mexico,6.32,2021
Brazil,6.33,2021
Slovakia,6.33,2021
Kosovo,6.37,2021
Singapore,6.38,2021
Uruguay,6.43,2021
Guatemala,6.44,2021
Slovenia,6.46,2021
Italy,6.48,2021
Spain,6.49,2021
Saudi Arabia,6.49,2021
United Arab Emirates,6.56,2021
Malta,6.6,2021
Bahrain,6.65,2021
France,6.69,2021
Belgium,6.83,2021
United States,6.95,2021
United Kingdom,7.06,2021
Costa Rica,7.07,2021
Ireland,7.08,2021
Canada,7.1,2021
Germany,7.16,2021
Israel,7.16,2021
Australia,7.18,2021
Austria,7.27,2021
New Zealand,7.28,2021
Luxembourg,7.32,2021
Sweden,7.36,2021
Norway,7.39,2021
Netherlands,7.46,2021
Iceland,7.55,2021
Switzerland,7.57,2021
Denmark,7.62,2021
Finland,7.84,2021
Afghanistan,2.4,2022
Lebanon,2.96,2022
Zimbabwe,3.0,2022
Rwanda,3.27,2022
Botswana,3.47,2022
Lesotho,3.51,2022
Sierra Leone,3.57,2022
Tanzania,3.7,2022
Malawi,3.75,2022
Zambia,3.76,2022
India,3.78,2022
Togo,4.11,2022
Jordan,4.15,2022
Mauritania,4.15,2022
Yemen,4.2,2022
Ethiopia,4.24,2022
Chad,4.25,2022
Egypt,4.29,2022
Madagascar,4.34,2022
Sri Lanka,4.36,2022
Myanmar,4.39,2022
Namibia,4.46,2022
Mali,4.48,2022
Palestinian Territories,4.48,2022
Tunisia,4.52,2022
Pakistan,4.52,2022
Kenya,4.54,2022
Nigeria,4.55,2022
Uganda,4.6,2022
Comoros,4.61,2022
Benin,4.62,2022
Cambodia,4.64,2022
Burkina Faso,4.67,2022
Turkey,4.74,2022
Ghana,4.87,2022
Iran,4.89,2022
Guinea,4.89,2022
Venezuela,4.92,2022
Iraq,4.94,2022
Gabon,4.96,2022
Georgia,4.97,2022
Niger,5.0,2022
Senegal,5.05,2022
Mozambique,5.05,2022
Cameroon,5.05,2022
Morocco,5.06,2022
Ukraine,5.08,2022
Algeria,5.12,2022
Liberia,5.12,2022
Laos,5.14,2022
Bangladesh,5.16,2022
Gambia,5.16,2022
Azerbaijan,5.17,2022
South Africa,5.19,2022
Albania,5.2,2022
Ivory Coast,5.24,2022
Indonesia,5.24,2022
Libya,5.33,2022
Bulgaria,5.37,2022
Tajikistan,5.38,2022
Nepal,5.38,2022
Armenia,5.4,2022
Russia,5.46,2022
Turkmenistan,5.47,2022
Vietnam,5.48,2022
Ecuador,5.53,2022
Montenegro,5.55,2022
Peru,5.56,2022
Paraguay,5.58,2022
China,5.58,2022
Bolivia,5.6,2022
Malaysia,5.71,2022
Dominican Republic,5.74,2022
Mongolia,5.76,2022
Bosnia and Herzegovina,5.77,2022
Colombia,5.78,2022
Belarus,5.82,2022
Kyrgyzstan,5.83,2022
Jamaica,5.85,2022
Moldova,5.86,2022
Thailand,5.89,2022
Philippines,5.9,2022
South Korea,5.94,2022
Greece,5.95,2022
Argentina,5.97,2022
Portugal,6.02,2022
Honduras,6.02,2022
Japan,6.04,2022
Uzbekistan,6.06,2022
Mauritius,6.07,2022
Hungary,6.09,2022
Kuwait,6.11,2022
El Salvador,6.12,2022
Poland,6.12,2022
Croatia,6.12,2022
Mexico,6.13,2022
Nicaragua,6.16,2022
Chile,6.17,2022
Serbia,6.18,2022
Latvia,6.18,2022
Cyprus,6.22,2022
Kazakhstan,6.23,2022
Guatemala,6.26,2022
Brazil,6.29,2022
Panama,6.31,2022
Estonia,6.34,2022
Slovakia,6.39,2022
Lithuania,6.45,2022
Malta,6.45,2022
Kosovo,6.46,2022
Italy,6.47,2022
Uruguay,6.47,2022
Spain,6.48,2022
Romania,6.48,2022
Singapore,6.48,2022
Saudi Arabia,6.52,2022
United Arab Emirates,6.58,2022
Costa Rica,6.58,2022
Slovenia,6.63,2022
Bahrain,6.65,2022
France,6.69,2022
Belgium,6.8,2022
United Kingdom,6.94,2022
United States,6.98,2022
Canada,7.02,2022
Germany,7.03,2022
Ireland,7.04,2022
Australia,7.16,2022
Austria,7.16,2022
New Zealand,7.2,2022
Israel,7.36,2022
Norway,7.36,2022
Sweden,7.38,2022
Luxembourg,7.4,2022
Netherlands,7.42,2022
Switzerland,7.51,2022
Iceland,7.56,2022
Denmark,7.64,2022
Finland,7.82,2022
